Subject,Plaintiff,Defendant,Summary,How I Remember
Basic,Arland,Taylor,"""reasonable person"" precedent",Al Borland vs Tim Taylor
Basic,Veinot,Kerr-Addison Mines,factors for duty of care to trespassers,"""veinot trespass, eet eez mein"""
Basic,Donoghue,Stevenson,"product liability due to snail in ginger beer, secondary consumer",donaoghue the noise I make when there's a snail in my drink
Basic,Rylands,Fletcher,strict liability for dangerous things,"fletcher used an arrow to shoot a tiger, rylands = reservoir lands"
Basic,Right of Canada,Saskatchewan Wheat Pool,rules to prove negligence based on breach of statute,
Basic,1688782 Ontario Inc,Maple Leaf Foods,recovery of economic losses w/o physical damages,ethereal company = ethereal damages
Forseeability,Polemis and Furness Withy & Co,N/A,wood plank falling into ship storage ignited gas vapour - eventually OVERRULED,wood plank in the furness = fire
Forseeability,Wagon Mound,N/A,fuel oil spill and cotton in the water ignited,why is a wagon mound in the ocean
Remoteness of Damages,Rankin,JJ,stolen car leading to liability for damages,"rankin' is racing, but I'm not responsible for the crash"
Inevitable Accident,Ryan,Youngs,heart attack while driving w/ no known conditions = not responsible,driving and die young = not responsible
Inevitable Accident,Telfer,Wright,blackout while driving after previous instances = responsible,not wright to ignore known conditions
Proximity,Cooper,Hobart,No Duty Owed - proximity of registrar and investors,
Voluntary Assumption of Risk,Waldick,Malcolm,voluntary assumption of risk = KNOW and WAIVE,waldick move not to offer a waiver
QC Basic,Watt and Scott,City of Montreal,municipalities responsible for things/buildings,
QC Basic,General Motors Products of Canada,Kravitz,manufacturer + distributor liable for safety defects,
QC Basic,Houle,Canadian National Bank,"""abuse"" clause in liability - don't be a dick",banks are dicks
QC Basic,St. Lawrence Cement,Barrette,nuisance due to dust and noise = fault not required,
QC Proximate Cause Cases,Scott,Shepherd,original lighter of firework found liable despite others subsequently tossing it away (reasonable),"shephered the fireworks to safety, you're not responsible"
QC Proximate Cause Cases,The King,Laperriere,army responsible for abandoned explosives,the king is always at fault
QC Proximate Cause Cases,Beaudoin,T.W. Hand Fireworks,"tried disposing of firework, employee detonated it",TfW employee blows up my hand
QC Legal Liability Between Parties,Lockhart,Canadian Pacific,"employee using personal car on business, employer responsible",lock employes out of your c(h)ar(t)
QC Legal Liability Between Parties,Davie Shipbuilding,Cargill,interference on independent contractors,fuck off cargill
QC Legal Liability Between Parties,Norwell,Toronto,WRITTEN notice within prescribed time/limitation period,fuck off toronto
Legal Liability,United Motors Service,Hutson,"tenants cleaning with gasoline near open flames, tenant responsibility - TENANT RESP",united morons service
Legal Liability,Ross Southward Tire,Pyrotech Products,landlord fire insurer subrogation - TENANT NON RESP,"they are named pyrotech, you can't sue for fire obv"
Legal Liability,Commonwealth Construction,Imperial Oil,subcontractor w/o interest still liable even if insured under policy - SUBCONTRACTOR RESP,oil companies never responsible for anything
